Spring    ,LAKEFRONT / WATERFRONT / RIVERBANK                          ,         2
Spring    ,LAKEFRONT/WATERFRONT/RIVERBANK                              ,       161
Spring    ,LIBRARY                                                     ,      1445
Spring    ,LIQUOR STORE                                                ,         5
Spring    ,LOADING DOCK                                                ,         1
Spring    ,MEDICAL / DENTAL OFFICE                                     ,        26
Spring    ,MEDICAL/DENTAL OFFICE                                       ,      1637
Spring    ,MOTEL                                                       ,         3
Spring    ,MOVIE HOUSE / THEATER                                       ,         2
Spring    ,MOVIE HOUSE/THEATER                                         ,       594
Spring    ,NEWSSTAND                                                   ,        50
Spring    ,NURSING / RETIREMENT HOME                                   ,        80
Spring    ,NURSING HOME                                                ,         1
Spring    ,NURSING HOME/RETIREMENT HOME                                ,      3264
Spring    ,OFFICE                                                      ,         4
Spring    ,OTHER                                                       ,     59338
Spring    ,OTHER (SPECIFY)                                             ,       495
Spring    ,OTHER COMMERCIAL TRANSPORTATION                             ,       702
Spring    ,OTHER RAILROAD PROP / TRAIN DEPOT                           ,      1273
Spring    ,OTHER RAILROAD PROPERTY / TRAIN DEPOT                       ,        14
Spring    ,PARK PROPERTY                                               ,     10570
Spring    ,PARKING LOT                                                 ,        48
Spring    ,PARKING LOT / GARAGE (NON RESIDENTIAL)                      ,       452
Spring    ,PARKING LOT/GARAGE(NON.RESID.)                              ,     44615
Spring    ,PAWN SHOP                                                   ,       131
Spring    ,POLICE FACILITY / VEHICLE PARKING LOT                       ,        39
Spring    ,POLICE FACILITY/VEH PARKING LOT                             ,      4414
Spring    ,POOL ROOM                                                   ,       209
Spring    ,PORCH                                                       ,        68
Spring    ,PRAIRIE                                                     ,         2
Spring    ,PUBLIC HIGH SCHOOL                                          ,         1
Spring    ,RESIDENCE                                                   ,    269216
Spring    ,RESIDENCE - GARAGE                                          ,       232
Spring    ,RESIDENCE - PORCH / HALLWAY                                 ,       364
Spring    ,RESIDENCE - YARD (FRONT / BACK)                             ,       338
Spring    ,RESIDENCE PORCH/HALLWAY                                     ,     26755
Spring    ,RESIDENCE-GARAGE                                            ,     28813
Spring    ,RESIDENTIAL YARD (FRONT/BACK)                               ,     17686
Spring    ,RESTAURANT                                                  ,     25988
Spring    ,RETAIL STORE                                                ,        17
Spring    ,RIVER                                                       ,         1
Spring    ,SAVINGS AND LOAN                                            ,        51
Spring    ,SCHOOL - PRIVATE BUILDING                                   ,        29
Spring    ,SCHOOL - PRIVATE GROUNDS                                    ,        10
Spring    ,SCHOOL - PUBLIC BUILDING                                    ,       144
Spring    ,SCHOOL - PUBLIC GROUNDS                                     ,        46
Spring    ,SCHOOL YARD                                                 ,         1
Spring    ,SCHOOL; PRIVATE; BUILDING                                   ,      3828
Spring    ,SCHOOL; PRIVATE; GROUNDS                                    ,      1116
Spring    ,SCHOOL; PUBLIC; BUILDING                                    ,     44304
Spring    ,SCHOOL; PUBLIC; GROUNDS                                     ,      9083
Spring    ,SIDEWALK                                                    ,    159247
Spring    ,SMALL RETAIL STORE                                          ,     28699
Spring    ,SPORTS ARENA / STADIUM                                      ,         3
Spring    ,SPORTS ARENA/STADIUM                                        ,      1170
Spring    ,STAIRWELL                                                   ,         3
Spring    ,STREET                                                      ,    407598
Spring    ,TAVERN                                                      ,         5
Spring    ,TAVERN / LIQUOR STORE                                       ,        32
Spring    ,TAVERN/LIQUOR STORE                                         ,      4927
Spring    ,TAXI CAB                                                    ,         3
Spring    ,TAXICAB                                                     ,      1745
Spring    ,TRUCK                                                       ,         1
Spring    ,VACANT LOT                                                  ,        22
Spring    ,VACANT LOT / LAND                                           ,        40
Spring    ,VACANT LOT/LAND                                             ,      5612
Spring    ,VEHICLE - COMMERCIAL                                        ,         9
Spring    ,VEHICLE - DELIVERY TRUCK                                    ,        32
Spring    ,VEHICLE - OTHER RIDE SERVICE                                ,        67
Spring    ,VEHICLE - OTHER RIDE SHARE SERVICE (E.G.; UBER; LYFT)       ,       110
Spring    ,VEHICLE - OTHER RIDE SHARE SERVICE (LYFT; UBER; ETC.)       ,         9
Spring    ,VEHICLE NON-COMMERCIAL                                      ,     26572
Spring    ,VEHICLE-COMMERCIAL                                          ,      1222
Spring    ,VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS                ,         2
Spring    ,VEHICLE-COMMERCIAL - TROLLEY BUS                            ,         2
Spring    ,VESTIBULE                                                   ,         4
Spring    ,WAREHOUSE                                                   ,      2021
Spring    ,WOODED AREA                                                 ,         2
Spring    ,YARD                                                        ,        57
Spring    ,YMCA                                                        ,         1
Summer    ,ABANDONED BUILDING                                          ,      3126
Summer    ,AIRCRAFT                                                    ,       189
Summer    ,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,       231
Summer    ,AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,       160
Summer    ,AIRPORT EXTERIOR - NON-SECURE AREA                          ,       240
Summer    ,AIRPORT EXTERIOR - SECURE AREA                              ,        88
Summer    ,AIRPORT PARKING LOT                                         ,       231
Summer    ,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,       405
Summer    ,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,       189
Summer    ,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,        18
Summer    ,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,       172
Summer    ,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,      1163
Summer    ,AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,        23
Summer    ,AIRPORT VENDING ESTABLISHMENT                               ,       258
Summer    ,AIRPORT/AIRCRAFT                                            ,      3608
Summer    ,ALLEY                                                       ,     44458
Summer    ,ANIMAL HOSPITAL                                             ,       179
Summer    ,APARTMENT                                                   ,    185259
Summer    ,APPLIANCE STORE                                             ,       436
Summer    ,ATHLETIC CLUB                                               ,      2036
Summer    ,ATM (AUTOMATIC TELLER MACHINE)                              ,      2076
Summer    ,AUTO                                                        ,       329
Summer    ,AUTO / BOAT / RV DEALERSHIP                                 ,       111
Summer    ,BANK                                                        ,      6888
Summer    ,BAR OR TAVERN                                               ,      8696
Summer    ,BARBER SHOP/BEAUTY SALON                                    ,         2
Summer    ,BARBERSHOP                                                  ,      1861
Summer    ,BASEMENT                                                    ,         6
Summer    ,BOAT / WATERCRAFT                                           ,         1
Summer    ,BOAT/WATERCRAFT                                             ,       342
Summer    ,BOWLING ALLEY                                               ,       106
Summer    ,BRIDGE                                                      ,       119
Summer    ,CAR WASH                                                    ,       802
Summer    ,CEMETARY                                                    ,       111
Summer    ,CHA APARTMENT                                               ,      7658
Summer    ,CHA BREEZEWAY                                               ,         2
Summer    ,CHA GROUNDS                                                 ,        18
Summer    ,CHA HALLWAY                                                 ,         6
Summer    ,CHA HALLWAY / STAIRWELL / ELEVATOR                          ,         3
Summer    ,CHA HALLWAY/STAIRWELL/ELEVATOR                              ,      4334
Summer    ,CHA LOBBY                                                   ,         1
Summer    ,CHA PARKING LOT                                             ,        16
Summer    ,CHA PARKING LOT / GROUNDS                                   ,         2
Summer    ,CHA PARKING LOT/GROUNDS                                     ,     13574
Summer    ,CHA PLAY LOT                                                ,         2
Summer    ,CHURCH                                                      ,         2
Summer    ,CHURCH / SYNAGOGUE / PLACE OF WORSHIP                       ,         2
Summer    ,CHURCH/SYNAGOGUE/PLACE OF WORSHIP                           ,      4049
Summer    ,CLEANING STORE                                              ,      1147
Summer    ,CLUB                                                        ,         1
Summer    ,COACH HOUSE                                                 ,         1
Summer    ,COIN OPERATED MACHINE                                       ,       256
Summer    ,COLLEGE/UNIVERSITY GROUNDS                                  ,      1105
Summer    ,COLLEGE/UNIVERSITY RESIDENCE HALL                           ,       174
Summer    ,COMMERCIAL / BUSINESS OFFICE                                ,     11964
Summer    ,CONSTRUCTION SITE                                           ,      3499
Summer    ,CONVENIENCE STORE                                           ,      4955
Summer    ,CREDIT UNION                                                ,       121
Summer    ,CTA "L" PLATFORM                                            ,         3
Summer    ,CTA "L" TRAIN                                               ,         1
Summer    ,CTA BUS                                                     ,      4947
Summer    ,CTA BUS STOP                                                ,      1944
Summer    ,CTA GARAGE / OTHER PROPERTY                                 ,      2701
Summer    ,CTA PLATFORM                                                ,      8533
Summer    ,CTA PROPERTY                                                ,         1
Summer    ,CTA STATION                                                 ,      1455
Summer    ,CTA TRACKS - RIGHT OF WAY                                   ,        48
Summer    ,CTA TRAIN                                                   ,      6740
Summer    ,CURRENCY EXCHANGE                                           ,      2709
Summer    ,DAY CARE CENTER                                             ,       784
Summer    ,DELIVERY TRUCK                                              ,       257
Summer    ,DEPARTMENT STORE                                            ,     20817
Summer    ,DRIVEWAY                                                    ,         6
Summer    ,DRIVEWAY - RESIDENTIAL                                      ,      5826
Summer    ,DRUG STORE                                                  ,      7192
Summer    ,DUMPSTER                                                    ,         1
Summer    ,FACTORY/MANUFACTURING BUILDING                              ,      1739
Summer    ,FARM                                                        ,         2
Summer    ,FEDERAL BUILDING                                            ,       219
Summer    ,FIRE STATION                                                ,       283
Summer    ,FOREST PRESERVE                                             ,       130
Summer    ,GANGWAY                                                     ,        15
Summer    ,GARAGE                                                      ,        17
Summer    ,GARAGE/AUTO REPAIR                                          ,         1
Summer    ,GAS STATION                                                 ,     19416
Summer    ,GAS STATION DRIVE/PROP.                                     ,        16
Summer    ,GOVERNMENT BUILDING/PROPERTY                                ,      3451
Summer    ,GROCERY FOOD STORE                                          ,     21187
Summer    ,HALLWAY                                                     ,        17
Summer    ,HIGHWAY/EXPRESSWAY                                          ,       278
Summer    ,HOSPITAL                                                    ,         1
Summer    ,HOSPITAL BUILDING / GROUNDS                                 ,         3
Summer    ,HOSPITAL BUILDING/GROUNDS                                   ,      5295
Summer    ,HOTEL                                                       ,         7
Summer    ,HOTEL / MOTEL                                               ,         6
Summer    ,HOTEL/MOTEL                                                 ,      7173
Summer    ,HOUSE                                                       ,       137
Summer    ,JAIL / LOCK-UP FACILITY                                     ,       278
Summer    ,JUNK YARD/GARBAGE DUMP                                      ,         1
Summer    ,KENNEL                                                      ,         3
Summer    ,LAKEFRONT / WATERFRONT / RIVERBANK                          ,         1
Summer    ,LAKEFRONT/WATERFRONT/RIVERBANK                              ,       722
Summer    ,LIBRARY                                                     ,      1280
Summer    ,LIQUOR STORE                                                ,         1
Summer    ,MEDICAL / DENTAL OFFICE                                     ,         1
Summer    ,MEDICAL/DENTAL OFFICE                                       ,      1732
Summer    ,MOVIE HOUSE/THEATER                                         ,       536
Summer    ,NEWSSTAND                                                   ,        61
Summer    ,NURSING / RETIREMENT HOME                                   ,         1
