              8,WEAPONS VIOLATION                                                                                   ,      1681
              9,ARSON                                                                                               ,       214
              9,ASSAULT                                                                                             ,     17563
              9,BATTERY                                                                                             ,     37128
              9,BURGLARY                                                                                            ,     22073
              9,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        17
              9,CRIM SEXUAL ASSAULT                                                                                 ,       637
              9,CRIMINAL DAMAGE                                                                                     ,     24960
              9,CRIMINAL SEXUAL ASSAULT                                                                             ,        18
              9,CRIMINAL TRESPASS                                                                                   ,      7288
              9,DECEPTIVE PRACTICE                                                                                  ,     28009
              9,GAMBLING                                                                                            ,       114
              9,HOMICIDE                                                                                            ,       263
              9,HUMAN TRAFFICKING                                                                                   ,         6
              9,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       363
              9,INTIMIDATION                                                                                        ,       251
              9,KIDNAPPING                                                                                          ,       337
              9,LIQUOR LAW VIOLATION                                                                                ,       100
              9,MOTOR VEHICLE THEFT                                                                                 ,     12053
              9,NARCOTICS                                                                                           ,     14864
              9,NON - CRIMINAL                                                                                      ,         5
              9,NON-CRIMINAL                                                                                        ,        14
              9,OBSCENITY                                                                                           ,        36
              9,OFFENSE INVOLVING CHILDREN                                                                          ,      2239
              9,OTHER NARCOTIC VIOLATION                                                                            ,         6
              9,OTHER OFFENSE                                                                                       ,     25247
              9,PROSTITUTION                                                                                        ,      1795
              9,PUBLIC INDECENCY                                                                                    ,        11
              9,PUBLIC PEACE VIOLATION                                                                              ,      1352
              9,ROBBERY                                                                                             ,      5783
              9,SEX OFFENSE                                                                                         ,      1046
              9,STALKING                                                                                            ,       187
              9,THEFT                                                                                               ,     70487
              9,WEAPONS VIOLATION                                                                                   ,      1888
             10,ARSON                                                                                               ,       212
             10,ASSAULT                                                                                             ,     19725
             10,BATTERY                                                                                             ,     41968
             10,BURGLARY                                                                                            ,     19896
             10,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        13
             10,CRIM SEXUAL ASSAULT                                                                                 ,       548
             10,CRIMINAL DAMAGE                                                                                     ,     23093
             10,CRIMINAL SEXUAL ASSAULT                                                                             ,        10
             10,CRIMINAL TRESPASS                                                                                   ,      8315
             10,DECEPTIVE PRACTICE                                                                                  ,     16105
             10,GAMBLING                                                                                            ,       330
             10,HOMICIDE                                                                                            ,       242
             10,HUMAN TRAFFICKING                                                                                   ,         2
             10,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       565
             10,INTIMIDATION                                                                                        ,       262
             10,KIDNAPPING                                                                                          ,       293
             10,LIQUOR LAW VIOLATION                                                                                ,       146
             10,MOTOR VEHICLE THEFT                                                                                 ,      9935
             10,NARCOTICS                                                                                           ,     27900
             10,NON - CRIMINAL                                                                                      ,         9
             10,NON-CRIMINAL                                                                                        ,         8
             10,OBSCENITY                                                                                           ,        27
             10,OFFENSE INVOLVING CHILDREN                                                                          ,      2165
             10,OTHER NARCOTIC VIOLATION                                                                            ,         9
             10,OTHER OFFENSE                                                                                       ,     22681
             10,PROSTITUTION                                                                                        ,      1328
             10,PUBLIC INDECENCY                                                                                    ,         9
             10,PUBLIC PEACE VIOLATION                                                                              ,      1847
             10,ROBBERY                                                                                             ,      6903
             10,SEX OFFENSE                                                                                         ,       910
             10,STALKING                                                                                            ,       165
             10,THEFT                                                                                               ,     63090
             10,WEAPONS VIOLATION                                                                                   ,      2227
             11,ARSON                                                                                               ,       243
             11,ASSAULT                                                                                             ,     21381
             11,BATTERY                                                                                             ,     47395
             11,BURGLARY                                                                                            ,     18207
             11,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        16
             11,CRIM SEXUAL ASSAULT                                                                                 ,       523
             11,CRIMINAL DAMAGE                                                                                     ,     21578
             11,CRIMINAL SEXUAL ASSAULT                                                                             ,        10
             11,CRIMINAL TRESPASS                                                                                   ,      9917
             11,DECEPTIVE PRACTICE                                                                                  ,     12012
             11,GAMBLING                                                                                            ,       554
             11,HOMICIDE                                                                                            ,       265
             11,HUMAN TRAFFICKING                                                                                   ,         2
             11,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       740
             11,INTIMIDATION                                                                                        ,       250
             11,KIDNAPPING                                                                                          ,       196
             11,LIQUOR LAW VIOLATION                                                                                ,       263
             11,MOTOR VEHICLE THEFT                                                                                 ,      8412
             11,NARCOTICS                                                                                           ,     42806
             11,NON - CRIMINAL                                                                                      ,         1
             11,NON-CRIMINAL                                                                                        ,        10
             11,NON-CRIMINAL (SUBJECT SPECIFIED)                                                                    ,         1
             11,OBSCENITY                                                                                           ,        25
             11,OFFENSE INVOLVING CHILDREN                                                                          ,      1528
             11,OTHER NARCOTIC VIOLATION                                                                            ,         7
             11,OTHER OFFENSE                                                                                       ,     20334
             11,PROSTITUTION                                                                                        ,      1290
             11,PUBLIC INDECENCY                                                                                    ,        10
             11,PUBLIC PEACE VIOLATION                                                                              ,      2306
             11,ROBBERY                                                                                             ,      8121
             11,SEX OFFENSE                                                                                         ,       923
             11,STALKING                                                                                            ,       164
             11,THEFT                                                                                               ,     63169
             11,WEAPONS VIOLATION                                                                                   ,      2849
             12,ARSON                                                                                               ,       821
             12,ASSAULT                                                                                             ,     13041
             12,BATTERY                                                                                             ,     58289
             12,BURGLARY                                                                                            ,     16187
             12,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        24
             12,CRIM SEXUAL ASSAULT                                                                                 ,      3004
             12,CRIMINAL DAMAGE                                                                                     ,     53409
             12,CRIMINAL SEXUAL ASSAULT                                                                             ,        80
             12,CRIMINAL TRESPASS                                                                                   ,      6356
