AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,              2,         7
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,              3,         4
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,              4,         9
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,              5,        28
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,              6,        31
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,              7,        30
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,              8,        19
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,              9,        34
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             10,        35
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             11,        29
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             12,        19
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             13,        38
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             14,        40
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             15,        49
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             16,        41
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             17,        47
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             18,        35
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             19,        31
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             20,        30
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             21,        27
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             22,        25
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             23,        23
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA                  ,             24,        35
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,              2,         1
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,              3,         1
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,              4,         2
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,              5,         1
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,              6,         2
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,              7,         4
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,              8,         4
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,              9,         6
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             10,         6
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             11,         5
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             12,         5
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             13,         5
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             14,         6
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             15,         8
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             16,         4
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             17,         7
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             18,         6
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             20,         8
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA                ,             24,         6
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,              1,        19
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,              2,        23
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,              3,        18
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,              4,        20
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,              5,        25
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,              6,        44
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,              7,        66
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,              8,        54
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,              9,        31
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             10,        28
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             11,        41
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             12,        22
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             13,        26
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             14,        43
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             15,        37
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             16,        40
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             17,        37
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             18,        50
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             19,        39
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             20,        32
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             21,        19
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             22,        10
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             23,        14
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA              ,             24,        27
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,              1,        15
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,              2,        14
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,              3,        22
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,              4,       126
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,              5,       248
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,              6,       306
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,              7,       289
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,              8,       272
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,              9,       232
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             10,       238
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             11,       230
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             12,        51
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             13,       235
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             14,       249
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             15,       230
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             16,       221
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             17,       217
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             18,       224
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             19,       166
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             20,       117
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             21,        73
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             22,        59
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             23,        44
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA                  ,             24,       230
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,              1,         1
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,              2,         3
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,              5,         1
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,              6,         2
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,              7,         8
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,              8,         9
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,              9,         3
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             10,         3
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             11,         6
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             12,         2
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             13,         5
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             14,         3
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             15,         6
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             16,         4
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             17,         8
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             18,         8
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             19,         4
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             20,         6
